# Simulated Pumped IV response
# Parameters:
#     SUB1_T   = 4300.00 Angstrom
#     AREA     = 1.44 sq uM
#     RNA      = 21.00 Ohm sq uM
#     LO freq  = 750.00 GHz
#     LO pwr   = 150.00 nW
#     Noise    = 1.50 uA 
#     V offset = 0.01 mV 
#     I offset = -1.00 uA 
# V(mV)	I(uA)
0.18	1.08e+01
0.20	1.22e+01
0.22	1.30e+01
0.24	1.42e+01
0.26	1.50e+01
0.28	1.56e+01
0.30	1.63e+01
0.32	1.72e+01
0.34	1.77e+01
0.36	1.84e+01
0.38	1.88e+01
0.40	1.93e+01
0.42	1.98e+01
0.44	2.05e+01
0.46	2.06e+01
0.48	2.11e+01
0.50	2.16e+01
0.52	2.18e+01
0.54	2.20e+01
0.56	2.22e+01
0.58	2.25e+01
0.60	2.30e+01
0.62	2.35e+01
0.64	2.38e+01
0.66	2.38e+01
0.68	2.42e+01
0.70	2.45e+01
0.72	2.49e+01
0.74	2.53e+01
0.76	2.54e+01
0.78	2.56e+01
0.80	2.61e+01
0.82	2.58e+01
0.84	2.63e+01
0.86	2.68e+01
0.88	2.66e+01
0.90	2.68e+01
0.92	2.73e+01
0.94	2.75e+01
0.96	2.77e+01
0.98	2.80e+01
1.00	2.79e+01
1.02	2.83e+01
1.04	2.87e+01
1.06	2.89e+01
1.08	2.90e+01
1.10	2.91e+01
1.12	2.93e+01
1.14	2.94e+01
1.16	2.96e+01
1.18	3.00e+01
1.20	3.02e+01
1.22	3.04e+01
1.24	3.04e+01
1.26	3.07e+01
1.28	3.08e+01
1.30	3.09e+01
1.32	3.14e+01
1.34	3.13e+01
1.36	3.15e+01
1.38	3.19e+01
1.40	3.20e+01
1.42	3.21e+01
1.44	3.25e+01
1.46	3.24e+01
1.48	3.26e+01
1.50	3.27e+01
1.52	3.28e+01
1.54	3.31e+01
1.56	3.33e+01
1.58	3.35e+01
1.60	3.36e+01
1.62	3.37e+01
1.64	3.39e+01
1.66	3.42e+01
1.68	3.43e+01
1.70	3.47e+01
1.72	3.48e+01
1.74	3.49e+01
1.76	3.50e+01
1.78	3.51e+01
1.80	3.51e+01
1.82	3.56e+01
1.84	3.58e+01
1.86	3.57e+01
1.88	3.60e+01
1.90	3.60e+01
1.92	3.64e+01
1.94	3.65e+01
1.96	3.65e+01
1.98	3.70e+01
2.00	3.70e+01
2.02	3.73e+01
2.04	3.73e+01
2.06	3.76e+01
2.08	3.77e+01
2.10	3.77e+01
2.12	3.79e+01
2.14	3.83e+01
2.16	3.84e+01
2.18	3.88e+01
2.20	3.88e+01
2.22	3.89e+01
2.24	3.91e+01
2.26	3.92e+01
2.28	3.94e+01
2.30	3.99e+01
2.32	3.97e+01
2.34	3.99e+01
2.36	4.01e+01
2.38	4.03e+01
2.40	4.06e+01
2.42	4.07e+01
2.44	4.11e+01
2.46	4.10e+01
2.48	4.17e+01
2.50	4.18e+01
2.52	4.22e+01
2.54	4.23e+01
2.56	4.25e+01
2.58	4.28e+01
2.60	4.37e+01
2.62	4.41e+01
2.64	4.49e+01
2.66	4.57e+01
2.68	4.67e+01
2.70	4.77e+01
2.72	4.96e+01
2.74	5.14e+01
2.76	5.42e+01
2.78	5.76e+01
2.80	6.14e+01
2.82	6.66e+01
2.84	7.27e+01
2.86	8.09e+01
2.88	9.02e+01
2.90	1.02e+02
2.92	1.16e+02
2.94	1.31e+02
2.96	1.49e+02
2.98	1.67e+02
3.00	1.87e+02
3.02	2.08e+02
3.04	2.28e+02
3.06	2.47e+02
3.08	2.64e+02
3.10	2.80e+02
3.12	2.94e+02
3.14	3.07e+02
3.16	3.18e+02
3.18	3.27e+02
3.20	3.35e+02
3.22	3.42e+02
3.24	3.48e+02
3.26	3.54e+02
3.28	3.58e+02
3.30	3.63e+02
3.32	3.67e+02
3.34	3.70e+02
3.36	3.74e+02
3.38	3.77e+02
3.40	3.80e+02
3.42	3.83e+02
3.44	3.85e+02
3.46	3.88e+02
3.48	3.91e+02
3.50	3.94e+02
3.52	3.97e+02
3.54	3.99e+02
3.56	4.02e+02
3.58	4.05e+02
3.60	4.08e+02
3.62	4.10e+02
3.64	4.13e+02
3.66	4.16e+02
3.68	4.18e+02
3.70	4.21e+02
3.72	4.24e+02
3.74	4.26e+02
3.76	4.29e+02
3.78	4.31e+02
3.80	4.34e+02
3.82	4.36e+02
3.84	4.39e+02
3.86	4.42e+02
3.88	4.44e+02
3.90	4.47e+02
3.92	4.49e+02
3.94	4.52e+02
3.96	4.55e+02
3.98	4.57e+02
4.00	4.60e+02
4.02	4.63e+02
4.04	4.65e+02
4.06	4.68e+02
4.08	4.70e+02
4.10	4.73e+02
4.12	4.76e+02
4.14	4.79e+02
4.16	4.81e+02
4.18	4.84e+02
4.20	4.86e+02
4.22	4.89e+02
4.24	4.92e+02
4.26	4.94e+02
4.28	4.97e+02
4.30	5.00e+02
4.32	5.02e+02
4.34	5.05e+02
4.36	5.08e+02
4.38	5.10e+02
4.40	5.13e+02
4.42	5.15e+02
4.44	5.18e+02
4.46	5.21e+02
4.48	5.24e+02
4.50	5.26e+02
