# Output from "simple" SuperMix based program
# Scanning IF_FREQ from 0.100000 to 50.000000 GHz in steps of 0.100000 GHz
#
# FREQUENCY 225.000000 GHz
# BIAS 2.300000 mV
# LO_POWER 100.000000 nW
#
# IF_FREQ 5.000000 GHz
# Data from mixer.conf
#
# TEMP 4.200000 K
# Z0 16.250000 Ohms
# IF_Z0 50.000000 Ohms
# HARMONICS 3
#
# IV_CURVE unpump_1_4-2K_spline.IV
# KK_CURVE unpump_1_4-2K_spline.KK
# RNA 16.250000 Ohm*um^2
# SCAP 80.000000 fF/um^2
# AREA 1.000000 um^2
# VGAP 2.790000 mV
#
# FINLINE_S2P SIS_230GHz_singleEnded_IF_v1.s2p
# TUNER_INPUT 500.000000 3.800000
# IF_OUT_STRIP 127.000000 3.800000
# IF_CONNECTION SIS_singleEnded_IF_v6_20.s2p
# TUNER_TYPE RFCHOKE
# RF_CHOKE_TYPE FILTER
# FILTER_CHOKE_SECTIONS 6
# FILTER_CHOKE_INPUT 55.000000 2.500000
# FILTER_CHOKE_LINE1 53.000000 16.000000
# FILTER_CHOKE_LINE2 149.000000 2.500000
# FILTER_CHOKE_LINE3 124.000000 4.900000
# FILTER_CHOKE_LINE4 151.500000 2.500000
# FILTER_CHOKE_LINE5 76.000000 14.600000
# FILTER_CHOKE_LINE6 92.500000 2.500000
# FILTER_CHOKE_OUTPUT 127.000000 3.800000
#
# TOP_DEFAULT NB
# TOP_THICKNESS 4000.000000
# GROUND_DEFAULT NB
# GROUND_THICKNESS 4000.000000
# INSUL_DEFAULT SIO
# INSUL_THICKNESS 4250.000000
# COVER_DEFAULT AIR
# COVER_THICKNESS 100000.000000
#
# NB_PROPERTIES 3.050000 9.400000 5.000000
# NBTIN_PROPERTIES 5.000000 15.750000 30.000000
# SIO_PROPERTIES 5.800000 0.000000
# AIR_PROPERTIES 1.000000 0.000000
#
# End of configuration file data
# 
# building the mixer...
# building tuner...
# tuner complete
# building IV curves...
# IV curves complete
# IF Circuit Size : 2
# built mixer
# Results:
#
# IF_FREQ (GHz)| LSB Gain | USB Gain | IF Output 0K (K)| IF Output 77K (K)| IF Output 297K (K)| DC Current (uA)| Embedding Impedance
2.100000      0.531871      0.519415      12.445284      90.996340      332.539520      84.073566      0.896124 -0.295361i      0.293692 0.453180i      0.919886 -0.259283i      0.871518 -0.326608i
2.200000      0.522145      0.509345      12.213819      89.286079      326.281848      84.073566      0.896124 -0.295361i      0.293070 0.452893i      0.920985 -0.257435i      0.870336 -0.327984i
2.300000      0.512409      0.499286      11.982394      87.575991      320.024760      84.073566      0.896124 -0.295361i      0.292448 0.452604i      0.922079 -0.255576i      0.869153 -0.329352i
2.400000      0.502692      0.489270      11.751701      85.871190      313.786958      84.073566      0.896124 -0.295361i      0.291826 0.452315i      0.923169 -0.253703i      0.867970 -0.330709i
2.500000      0.493022      0.479321      11.522370      84.176302      307.585370      84.073566      0.896124 -0.295361i      0.291204 0.452025i      0.924256 -0.251819i      0.866786 -0.332057i
2.600000      0.483423      0.469463      11.294963      82.495492      301.435229      84.073566      0.896124 -0.295361i      0.290582 0.451733i      0.925339 -0.249922i      0.865602 -0.333395i
2.700000      0.473917      0.459717      11.069983      80.832439      295.349989      84.073566      0.896124 -0.295361i      0.289959 0.451441i      0.926417 -0.248013i      0.864418 -0.334724i
2.800000      0.464524      0.450102      10.847875      79.190439      289.341710      84.073566      0.896124 -0.295361i      0.289337 0.451147i      0.927491 -0.246091i      0.863234 -0.336044i
2.900000      0.455260      0.440634      10.629026      77.572344      283.420817      84.073566      0.896124 -0.295361i      0.288715 0.450853i      0.928561 -0.244157i      0.862049 -0.337354i
3.000000      0.446141      0.431327      10.413776      75.980663      277.596499      84.073566      0.896124 -0.295361i      0.288093 0.450557i      0.929626 -0.242210i      0.860864 -0.338655i
3.100000      0.437179      0.422192      10.202409      74.417473      271.876342      84.073566      0.896124 -0.295361i      0.287471 0.450260i      0.930687 -0.240250i      0.859679 -0.339947i
3.200000      0.428385      0.413239      9.995166      72.884560      266.266883      84.073566      0.896124 -0.295361i      0.286848 0.449962i      0.931743 -0.238278i      0.858493 -0.341230i
3.300000      0.419768      0.404477      9.792252      71.383433      260.773641      84.073566      0.896124 -0.295361i      0.286226 0.449664i      0.932794 -0.236293i      0.857308 -0.342503i
