# Output from "simple" SuperMix based program
# Scanning FREQUENCY from 150.000000 to 300.000000 GHz in steps of 1.000000 GHz
#
# FREQUENCY 225.000000 GHz
# BIAS 2.300000 mV
# LO_POWER 100.000000 nW
#
# IF_FREQ 5.000000 GHz
# Data from mixer.conf
#
# TEMP 4.200000 K
# Z0 16.250000 Ohms
# IF_Z0 50.000000 Ohms
# HARMONICS 3
#
# IV_CURVE unpump_1_4-2K_spline.IV
# KK_CURVE unpump_1_4-2K_spline.KK
# RNA 16.250000 Ohm*um^2
# SCAP 80.000000 fF/um^2
# AREA 1.000000 um^2
# VGAP 2.790000 mV
#
# FINLINE_S2P SIS_230GHz_singleEnded_IF_v1.s2p
# TUNER_INPUT 500.000000 3.800000
# IF_OUT_STRIP 127.000000 3.800000
# IF_CONNECTION SIS_singleEnded_IF_v6_20.s2p
# TUNER_TYPE RFCHOKE
# RF_CHOKE_TYPE FILTER
# FILTER_CHOKE_SECTIONS 6
# FILTER_CHOKE_INPUT 55.000000 2.500000
# FILTER_CHOKE_LINE1 53.000000 16.000000
# FILTER_CHOKE_LINE2 149.000000 2.500000
# FILTER_CHOKE_LINE3 124.000000 4.900000
# FILTER_CHOKE_LINE4 151.500000 2.500000
# FILTER_CHOKE_LINE5 76.000000 14.600000
# FILTER_CHOKE_LINE6 92.500000 2.500000
# FILTER_CHOKE_OUTPUT 127.000000 3.800000
#
# TOP_DEFAULT NB
# TOP_THICKNESS 4000.000000
# GROUND_DEFAULT NB
# GROUND_THICKNESS 4000.000000
# INSUL_DEFAULT SIO
# INSUL_THICKNESS 4250.000000
# COVER_DEFAULT AIR
# COVER_THICKNESS 100000.000000
#
# NB_PROPERTIES 3.050000 9.400000 5.000000
# NBTIN_PROPERTIES 5.000000 15.750000 30.000000
# SIO_PROPERTIES 5.800000 0.000000
# AIR_PROPERTIES 1.000000 0.000000
#
# End of configuration file data
# 
# building the mixer...
# building tuner...
# tuner complete
# building IV curves...
# IV curves complete
# IF Circuit Size : 2
# built mixer
# Results:
#
# FREQUENCY (GHz)| LSB Gain | USB Gain | IF Output 0K (K)| IF Output 77K (K)| IF Output 297K (K)| DC Current (uA)|  LO Emb Z | IF Emb Z | LSB Emb Z | USB Emb Z 
170.000000      0.000424      0.000884      1.886047      1.981555      2.269520      12.041902	  0.003899 0.021108i      0.013185 -0.094009i      0.010313 -0.083321i      0.020587 0.127360i
171.000000      0.000914      0.004361      2.086473      2.472572      3.637821      13.350918	  0.005331 0.042266i      0.008689 -0.068473i      0.007237 -0.062576i      0.026969 0.148831i
172.000000      0.000868      0.011486      2.405816      3.314145      6.058017      15.433795	  0.007704 0.063532i      0.005711 -0.044346i      0.005061 -0.041784i      0.034463 0.170351i
173.000000      0.000362      0.022661      2.821268      4.524634      9.674571      18.161568	  0.011050 0.084911i      0.004010 -0.021533i      0.003777 -0.020918i      0.043119 0.191894i
174.000000      0.000013      0.037571      3.301883      6.102953      14.578387      21.381822	  0.015402 0.106405i      0.003388 0.000062i      0.003388 0.000046i      0.052993 0.213428i
175.000000      0.000656      0.055361      3.813318      8.021122      20.762359      24.939368	  0.020802 0.128009i      0.003680 0.020527i      0.003906 0.021126i      0.064144 0.234912i
176.000000      0.003037      0.074956      4.324229      10.228061      28.116961      28.692475	  0.027300 0.149711i      0.004753 0.039944i      0.005349 0.042338i      0.076633 0.256293i
177.000000      0.007620      0.095363      4.811888      12.663157      36.467665      32.522966	  0.034947 0.171495i      0.006493 0.058390i      0.007745 0.063695i      0.090523 0.277508i
178.000000      0.014557      0.115841      5.263520      15.267182      45.614812      36.339120	  0.043802 0.193332i      0.008807 0.075937i      0.011127 0.085201i      0.105879 0.298482i
179.000000      0.023753      0.135925      5.674572      17.988792      55.365135      40.074148	  0.053929 0.215187i      0.011617 0.092648i      0.015536 0.106859i      0.122763 0.319125i
180.000000      0.034963      0.155357      6.045472      20.784306      65.540827      43.682254	  0.065392 0.237015i      0.014855 0.108582i      0.021022 0.128663i      0.141235 0.339334i
181.000000      0.047867      0.173994      6.378735      23.614731      75.976450      47.134054	  0.078262 0.258757i      0.018467 0.123793i      0.027637 0.150601i      0.161350 0.358991i
182.000000      0.062111      0.191739      6.677188      26.442917      86.512952      50.412324	  0.092609 0.280343i      0.022403 0.138329i      0.035442 0.172653i      0.183156 0.377961i
183.000000      0.077338      0.208503      6.943237      29.232362      96.995120      53.508504	  0.108507 0.301690i      0.026624 0.152236i      0.044502 0.194790i      0.206692 0.396095i
184.000000      0.093200      0.224198      7.178751      31.947530      107.273264      56.420011	  0.126024 0.322699i      0.031092 0.165552i      0.054889 0.216973i      0.231982 0.413224i
185.000000      0.109364      0.238733      7.385202      34.554941      117.207212      59.148221	  0.145228 0.343253i      0.035780 0.178316i      0.066676 0.239152i      0.259036 0.429167i
186.000000      0.125526      0.252030      7.563920      37.024858      126.672355      61.697019	  0.166180 0.363221i      0.040659 0.190561i      0.079942 0.261262i      0.287841 0.443726i
187.000000      0.141412      0.264024      7.716079      39.331792      135.561735      64.071908	  0.188934 0.382452i      0.045707 0.202318i      0.094766 0.283228i      0.318362 0.456690i
188.000000      0.156785      0.274669      7.842760      41.455184      143.788611      66.279417	  0.213529 0.400776i      0.050904 0.213615i      0.111229 0.304955i      0.350534 0.467840i
189.000000      0.171449      0.283949      7.945207      43.380753      151.291141      68.326635	  0.239993 0.418005i      0.056233 0.224478i      0.129409 0.326333i      0.384263 0.476948i
190.000000      0.185254      0.291884      8.024974      45.101116      158.034396      70.220931	  0.268330 0.433934i      0.061679 0.234932i      0.149381 0.347235i      0.419417 0.483788i
191.000000      0.198098      0.298530      8.083940      46.615840      164.010575      71.969786	  0.298521 0.448341i      0.067227 0.244997i      0.171214 0.367511i      0.455828 0.488135i
192.000000      0.209927      0.303972      8.124197      47.930376      169.234961      73.580680	  0.330520 0.460991i      0.072866 0.254694i      0.194965 0.386992i      0.493288 0.489776i
193.000000      0.220730      0.308326      8.148490      49.056243      173.745466      75.061071	  0.364246 0.471637i      0.078586 0.264043i      0.220678 0.405488i      0.531550 0.488519i
194.000000      0.230536      0.311788      8.159300      50.013263      177.614032      76.418188	  0.399580 0.480028i      0.084377 0.273059i      0.248377 0.422788i      0.570326 0.484197i
195.000000      0.239406      0.314510      8.159142      50.816737      180.893881      77.660039	  0.436362 0.485914i      0.090230 0.281760i      0.278065 0.438661i      0.609297 0.476679i
196.000000      0.247379      0.316761      8.151820      51.488299      183.659501      78.794698	  0.474390 0.489053i      0.096140 0.290160i      0.309713 0.452857i      0.648111 0.465878i
197.000000      0.254664      0.319103      8.141386      52.066963      186.051708      79.830726	  0.513414 0.489219i      0.102098 0.298273i      0.343261 0.465114i      0.686394 0.451756i
198.000000      0.261573      0.323964      8.139905      52.664939      188.467486      80.780178	  0.553141 0.486212i      0.108099 0.306111i      0.378607 0.475157i      0.723761 0.434334i
199.000000      0.267487      0.343727      7.972553      54.079137      194.689501      81.664320	  0.593235 0.479869i      0.114138 0.313688i      0.415605 0.482709i      0.759821 0.413690i
200.000000      0.268909      0.308931      7.923749      52.669532      189.391100      82.546775	  0.633324 0.470071i      0.120210 0.321013i      0.454061 0.487496i      0.794194 0.389965i
201.000000      0.271496      0.306715      7.990620      52.615349      188.985369      83.888952	  0.673006 0.456755i      0.126311 0.328098i      0.493730 0.489259i      0.826519 0.363357i
202.000000      0.278887      0.309152      7.977158      52.914885      190.202200      83.417301	  0.711860 0.439918i      0.132438 0.334952i      0.534317 0.487760i      0.856471 0.334123i
203.000000      0.285418      0.308675      7.816257      52.871752      190.499675      83.750300	  0.749459 0.419624i      0.138586 0.341585i      0.575475 0.482798i      0.883765 0.302564i
204.000000      0.324648      0.326083      8.146752      57.134393      206.749169      84.252758	  0.785379 0.396009i      0.144753 0.348005i      0.616812 0.474218i      0.908166 0.269023i
205.000000      0.296013      0.321791      7.991552      55.595573      201.253000      84.668650	  0.819218 0.369274i      0.150936 0.354219i      0.657902 0.461922i      0.929500 0.233870i
206.000000      0.294985      0.316153      7.861070      54.701676      198.025164      85.013105	  0.850609 0.339685i      0.157133 0.360236i      0.698287 0.445879i      0.947651 0.197490i
207.000000      0.296583      0.313811      7.794476      54.442691      197.200550      85.296245	  0.879227 0.307565i      0.163342 0.366063i      0.737499 0.426132i      0.962565 0.160275i
208.000000      0.298448      0.312227      7.742991      54.314608      196.868099      85.524676	  0.904809 0.273283i      0.169560 0.371706i      0.775071 0.402804i      0.974247 0.122607i
209.000000      0.300249      0.310913      7.697451      54.224793      196.675923      85.703351	  0.927152 0.237242i      0.175786 0.377172i      0.810551 0.376093i      0.982757 0.084852i
210.000000      0.301901      0.309714      7.654949      54.144351      196.514161      85.836328	  0.946124 0.199863i      0.182019 0.382466i      0.843525 0.346274i      0.988202 0.047350i
211.000000      0.303377      0.308562      7.614249      54.061210      196.336892      85.927116	  0.961661 0.161575i      0.188257 0.387594i      0.873626 0.313688i      0.990733 0.010409i
212.000000      0.304662      0.307420      7.574701      53.969134      196.120383      85.978848	  0.973766 0.122798i      0.194498 0.392562i      0.900548 0.278729i      0.990530 -0.025701i
213.000000      0.305751      0.306268      7.535904      53.864379      195.850366      85.994375	  0.982506 0.083934i      0.200743 0.397374i      0.924059 0.241836i      0.987799 -0.060749i
214.000000      0.306641      0.305097      7.497612      53.744664      195.518029      85.976351	  0.988001 0.045354i      0.206989 0.402034i      0.944003 0.203468i      0.982762 -0.094544i
215.000000      0.307329      0.303920      7.459639      53.608430      195.117119      85.927330	  0.990416 0.007392i      0.213236 0.406548i      0.960303 0.164096i      0.975650 -0.126936i
216.000000      0.307817      0.302879      7.421941      53.457001      194.651157      85.849951	  0.989954 -0.029660i      0.219484 0.410919i      0.972958 0.124181i      0.966694 -0.157811i
217.000000      0.308002      0.302041      7.371244      53.272451      194.087605      85.747508	  0.986842 -0.065554i      0.225731 0.415151i      0.982038 0.084165i      0.956124 -0.187090i
218.000000      0.308041      0.298864      7.342568      53.047118      193.315619      85.626814	  0.981327 -0.100090i      0.231977 0.419248i      0.987676 0.044455i      0.944161 -0.214724i
219.000000      0.307696      0.297227      7.310502      52.810342      192.487920      85.533986	  0.973660 -0.133110i      0.238222 0.423214i      0.990053 0.005415i      0.931015 -0.240694i
220.000000      0.308196      0.296357      7.263313      52.652843      192.022627      85.206033	  0.964097 -0.164499i      0.244465 0.427051i      0.989395 -0.032638i      0.916883 -0.265001i
221.000000      0.307751      0.294447      7.221685      52.369067      191.029692      85.036369	  0.952886 -0.194180i      0.250706 0.430763i      0.985952 -0.069438i      0.901945 -0.287666i
222.000000      0.309721      0.294733      7.226765      52.462494      191.425483      84.826742	  0.940267 -0.222109i      0.256944 0.434352i      0.979996 -0.104770i      0.886366 -0.308727i
223.000000      0.305360      0.290955      7.146758      51.822439      189.123709      84.593619	  0.926463 -0.248272i      0.263179 0.437822i      0.971805 -0.138472i      0.870295 -0.328232i
224.000000      0.304296      0.288777      7.102681      51.477408      187.888700      84.341873	  0.911685 -0.272679i      0.269412 0.441175i      0.961656 -0.170423i      0.853864 -0.346241i
225.000000      0.303041      0.286602      7.059697      51.127686      186.632383      84.073565	  0.896124 -0.295361i      0.275642 0.444414i      0.949820 -0.200550i      0.837191 -0.362818i
226.000000      0.301608      0.284358      7.016497      50.762503      185.313755      83.790118	  0.879953 -0.316363i      0.281869 0.447540i      0.936554 -0.228812i      0.820377 -0.378033i
227.000000      0.300009      0.282034      6.972895      50.380721      183.928415      83.492688	  0.863326 -0.335746i      0.288093 0.450557i      0.922102 -0.255204i      0.803511 -0.391959i
228.000000      0.298254      0.279629      6.928807      49.982221      182.475984      83.182289	  0.846381 -0.353576i      0.294314 0.453466i      0.906685 -0.279742i      0.786669 -0.404670i
229.000000      0.296349      0.277141      6.884164      49.567101      180.956985      82.859829	  0.829238 -0.369927i      0.300532 0.456269i      0.890506 -0.302468i      0.769914 -0.416237i
230.000000      0.294300      0.274572      6.838954      49.135886      179.373525      82.526135	  0.811999 -0.384878i      0.306748 0.458968i      0.873747 -0.323437i      0.753301 -0.426734i
231.000000      0.292118      0.271925      6.793242      48.689701      177.729931      82.181960	  0.794755 -0.398509i      0.312961 0.461565i      0.856569 -0.342718i      0.736873 -0.436231i
232.000000      0.289811      0.269202      6.747054      48.229321      176.029227      81.827986	  0.777580 -0.410899i      0.319172 0.464062i      0.839113 -0.360390i      0.720665 -0.444796i
233.000000      0.287386      0.266399      6.700352      47.754669      174.271147      81.464809	  0.760537 -0.422128i      0.325382 0.466460i      0.821503 -0.376535i      0.704704 -0.452492i
234.000000      0.284836      0.263397      6.652665      47.255683      172.415761      81.092840	  0.743680 -0.432273i      0.331591 0.468761i      0.803843 -0.391240i      0.689012 -0.459382i
235.000000      0.282202      0.260670      6.605147      46.772495      170.624431      80.711628	  0.727050 -0.441409i      0.337800 0.470966i      0.786223 -0.404592i      0.673602 -0.465524i
236.000000      0.279455      0.257681      6.553087      46.255237      168.705959      80.320456	  0.710680 -0.449609i      0.344010 0.473076i      0.768719 -0.416678i      0.658482 -0.470973i
237.000000      0.276589      0.254660      6.509271      45.743384      166.785065      79.933874	  0.694598 -0.456939i      0.350221 0.475094i      0.751391 -0.427585i      0.643655 -0.475779i
238.000000      0.273760      0.251566      6.460770      45.220999      164.834303      79.532529	  0.678821 -0.463464i      0.356435 0.477020i      0.734292 -0.437395i      0.629117 -0.479991i
239.000000      0.270811      0.248439      6.412204      44.688834      162.842548      79.124785	  0.663362 -0.469245i      0.362654 0.478855i      0.717462 -0.446187i      0.614858 -0.483651i
240.000000      0.267770      0.245259      6.363220      44.146404      160.809347      78.710868	  0.648229 -0.474339i      0.368880 0.480601i      0.700932 -0.454037i      0.600862 -0.486800i
241.000000      0.264673      0.242034      6.314137      43.597568      158.749449      78.290972	  0.633422 -0.478798i      0.375114 0.482259i      0.684726 -0.461017i      0.587103 -0.489473i
242.000000      0.261527      0.238765      6.265063      43.042892      156.664777      77.865210	  0.618940 -0.482671i      0.381359 0.483830i      0.668862 -0.467194i      0.573546 -0.491701i
243.000000      0.258335      0.235444      6.216021      42.482207      154.554568      77.433579	  0.604774 -0.486002i      0.387620 0.485314i      0.653351 -0.472631i      0.560136 -0.493510i
244.000000      0.255098      0.232057      6.166993      41.914463      152.414554      76.995933	  0.590911 -0.488834i      0.393900 0.486713i      0.638198 -0.477387i      0.546797 -0.494917i
245.000000      0.251823      0.228588      6.118149      41.339109      150.241928      76.551934	  0.577330 -0.491202i      0.400205 0.488026i      0.623404 -0.481515i      0.533408 -0.495926i
246.000000      0.248502      0.224996      6.069459      40.752741      148.022831      76.101002	  0.564004 -0.493138i      0.406541 0.489256i      0.608966 -0.485066i      0.519771 -0.496521i
247.000000      0.245117      0.221190      6.020695      40.147244      145.724716      75.642214	  0.550896 -0.494672i      0.412917 0.490402i      0.594876 -0.488087i      0.505540 -0.496637i
248.000000      0.241655      0.217012      5.972081      39.510452      143.297005      75.173925	  0.537951 -0.495823i      0.419345 0.491464i      0.581122 -0.490618i      0.490037 -0.496087i
249.000000      0.238033      0.212009      5.923501      38.803589      140.581110      74.693578	  0.525094 -0.496605i      0.425838 0.492442i      0.567687 -0.492697i      0.471726 -0.494312i
250.000000      0.234118      0.204761      5.878271      37.917941      137.121021      74.197316	  0.512206 -0.497018i      0.432418 0.493335i      0.554549 -0.494360i      0.446260 -0.489102i
251.000000      0.229900      0.187428      5.873303      36.325497      130.637209      73.676933	  0.499099 -0.497037i      0.439110 0.494142i      0.541678 -0.495633i      0.396146 -0.464693i
252.000000      0.263775      0.159664      6.914551      37.824877      133.568993      73.116790	  0.485441 -0.496587i      0.445953 0.494859i      0.529036 -0.496543i      0.507009 -0.207028i
253.000000      0.235126      0.220211      5.891135      39.023826      141.697695      72.484723	  0.470587 -0.495467i      0.453002 0.495481i      0.516569 -0.497106i      0.552622 -0.474403i
254.000000      0.228178      0.213466      5.752494      37.857465      137.373253      71.698289	  0.453080 -0.493087i      0.460341 0.495997i      0.504202 -0.497331i      0.503250 -0.492054i
255.000000      0.224482      0.209293      5.665362      37.160789      134.811417      70.474584	  0.428815 -0.487186i      0.468102 0.496389i      0.491822 -0.497214i      0.479192 -0.494645i
256.000000      0.223565      0.208224      5.535458      36.821152      133.838437      67.047526	  0.381431 -0.462095i      0.476507 0.496617i      0.479245 -0.496723i      0.462775 -0.494775i
257.000000      0.218807      0.204219      5.133373      35.624085      130.167853      54.735876	  0.498333 -0.215525i      0.485962 0.496599i      0.466157 -0.495774i      0.449676 -0.494133i
258.000000      0.206081      0.193446      5.573915      34.463023      124.095940      72.188247	  0.531554 -0.477155i      0.497291 0.496123i      0.451944 -0.494154i      0.438371 -0.493139i
259.000000      0.201420      0.186738      5.529137      33.739595      121.334866      71.686186	  0.483421 -0.492100i      0.512450 0.494540i      0.435225 -0.491247i      0.428186 -0.491936i
260.000000      0.193586      0.183402      5.456697      32.800308      117.720814      71.094414	  0.460233 -0.493679i      0.537385 0.488979i      0.412125 -0.484758i      0.418774 -0.490588i
261.000000      0.173852      0.176497      5.310709      30.674323      109.465225      70.227698	  0.444472 -0.493210i      0.598524 0.452911i      0.367345 -0.459152i      0.409940 -0.489126i
262.000000      0.134517      0.183856      5.782402      28.816987      100.412037      69.714465	  0.431921 -0.492134i      0.357441 0.289273i      0.489475 -0.223519i      0.401561 -0.487571i
263.000000      0.214857      0.188764      5.640704      34.715443      125.048681      69.257225	  0.421103 -0.490793i      0.423600 0.476620i      0.511195 -0.478919i      0.393557 -0.485934i
264.000000      0.203629      0.182421      5.497369      33.459697      120.408622      68.780325	  0.411364 -0.489299i      0.461455 0.491218i      0.464386 -0.491393i      0.385872 -0.484225i
265.000000      0.199449      0.178335      5.425494      32.733361      117.662205      68.304895	  0.402371 -0.487698i      0.480578 0.494687i      0.442071 -0.492067i      0.378463 -0.482451i
266.000000      0.195556      0.174999      5.373752      32.128048      115.356189      67.833560	  0.393934 -0.486013i      0.493571 0.495876i      0.426957 -0.491068i      0.371300 -0.480617i
267.000000      0.192033      0.171971      5.329836      31.586916      113.290482      67.366141	  0.385934 -0.484257i      0.503860 0.496274i      0.414945 -0.489613i      0.364358 -0.478729i
268.000000      0.188756      0.169108      5.290037      31.083025      111.364891      66.902002	  0.378295 -0.482440i      0.512731 0.496296i      0.404601 -0.487970i      0.357616 -0.476789i
269.000000      0.185646      0.166349      5.252721      30.603117      109.529717      66.440506	  0.370962 -0.480567i      0.520769 0.496097i      0.395296 -0.486224i      0.351056 -0.474801i
270.000000      0.182660      0.163667      5.217166      30.140968      107.761529      65.981106	  0.363895 -0.478645i      0.528282 0.495743i      0.386709 -0.484404i      0.344663 -0.472768i
271.000000      0.179776      0.161053      5.183109      29.693620      106.048948      65.523342	  0.357063 -0.476675i      0.535444 0.495267i      0.378655 -0.482527i      0.338424 -0.470691i
272.000000      0.176977      0.158496      5.150304      29.258639      104.382720      65.066830	  0.350443 -0.474663i      0.542365 0.494686i      0.371021 -0.480600i      0.332327 -0.468572i
273.000000      0.174246      0.155986      5.118498      28.833919      102.754969      64.611281	  0.344014 -0.472611i      0.549117 0.494010i      0.363734 -0.478629i      0.326360 -0.466411i
274.000000      0.171580      0.153522      5.087635      28.418804      101.163177      64.156460	  0.337760 -0.470520i      0.555751 0.493244i      0.356739 -0.476618i      0.320513 -0.464209i
275.000000      0.168977      0.151104      5.057747      28.013300      99.607282      63.702141	  0.331666 -0.468393i      0.562303 0.492391i      0.350000 -0.474569i      0.314774 -0.461966i
276.000000      0.166434      0.148731      5.028800      27.616824      98.085007      63.248096	  0.325719 -0.466230i      0.568801 0.491450i      0.343486 -0.472486i      0.309135 -0.459681i
277.000000      0.163944      0.146396      5.000718      27.228522      96.593079      62.794086	  0.319907 -0.464033i      0.575267 0.490422i      0.337175 -0.470371i      0.303584 -0.457352i
