Fallback handler called for "DC_BLOCK_INPUT". Got 2 args
275.000000      0.494286      0.518892      26.808380      58.880893      171.471941      14.423308      37.038689
280.000000      0.494847      0.519519      27.016341      59.164167      172.019632      14.618133      37.553583
285.000000      0.495292      0.520024      27.215514      59.423618      172.490715      14.812690      38.065298
290.000000      0.495622      0.520409      27.405888      59.659498      172.886373      15.006979      38.573851
295.000000      0.495841      0.520678      27.587458      59.872076      173.207830      15.200999      39.079256
300.000000      0.495950      0.520831      27.760227      60.061632      173.456347      15.394748      39.581529
305.000000      0.495953      0.520873      27.924203      60.228462      173.633223      15.588226      40.080686
310.000000      0.495850      0.520804      28.079404      60.372875      173.739794      15.781432      40.576742
315.000000      0.495645      0.520628      28.225853      60.495194      173.777433      15.974365      41.069713
320.000000      0.495340      0.520347      28.363581      60.595756      173.747546      16.167025      41.559614
325.000000      0.494936      0.519963      28.492627      60.674909      173.651576      16.359410      42.046460
330.000000      0.494437      0.519478      28.613038      60.733017      173.490994      16.551520      42.530266
335.000000      0.493844      0.518895      28.724866      60.770453      173.267304      16.743353      43.011048
340.000000      0.493160      0.518216      28.828173      60.787607      172.982039      16.934909      43.488820
345.000000      0.492386      0.517444      28.923026      60.784875      172.636759      17.126188      43.963597
350.000000      0.491525      0.516580      29.009501      60.762668      172.233047      17.317188      44.435395
355.000000      0.490580      0.515626      29.087681      60.721408      171.772512      17.507909      44.904227
360.000000      0.489551      0.514586      29.157655      60.661523      171.256782      17.698349      45.370109
365.000000      0.488442      0.513461      29.219519      60.583455      170.687504      17.888508      45.833056
370.000000      0.487255      0.512254      29.273375      60.487651      170.066341      18.078386      46.293081
375.000000      0.485992      0.510967      29.319333      60.374570      169.394971      18.267982      46.750200
380.000000      0.484654      0.509602      29.357507      60.244674      168.675082      18.457294      47.204426
385.000000      0.483245      0.508161      29.388020      60.098434      167.908370      18.646322      47.655775
390.000000      0.481766      0.506647      29.410998      59.936327      167.096541      18.835066      48.104260
395.000000      0.480219      0.505062      29.426572      59.758833      166.241302      19.023525      48.549895
400.000000      0.478607      0.503408      29.434880      59.566440      165.344361      19.211697      48.992696
405.000000      0.476932      0.501687      29.436065      59.359635      164.407427      19.399583      49.432675
410.000000      0.475195      0.499901      29.430271      59.138911      163.432204      19.587182      49.869847
415.000000      0.473399      0.498054      29.417651      58.904762      162.420390      19.774492      50.304226
420.000000      0.471546      0.496146      29.398358      58.657681      161.373676      19.961514      50.735826
425.000000      0.469639      0.494180      29.372550      58.398165      160.293739      20.148247      51.164660
430.000000      0.467678      0.492159      29.340388      58.126707      159.182247      20.334690      51.590743
435.000000      0.465666      0.490083      29.302036      57.843802      158.040850      20.520842      52.014088
440.000000      0.463605      0.487957      29.257660      57.549940      156.871180      20.706703      52.434708
445.000000      0.461498      0.485780      29.207428      57.245611      155.674852      20.892273      52.852617
450.000000      0.459346      0.483556      29.151511      56.931301      154.453459      21.077550      53.267829
455.000000      0.457150      0.481287      29.090081      56.607489      153.208569      21.262534      53.680357
460.000000      0.454914      0.478974      29.023310      56.274654      151.941726      21.447224      54.090215
465.000000      0.452639      0.476620      28.951371      55.933267      150.654449      21.631621      54.497415
470.000000      0.450326      0.474227      28.874439      55.583794      149.348226      21.815723      54.901971
