500.000000 0.135994 
505.000000 0.126641 
510.000000 0.129230 
515.000000 0.141949 
520.000000 0.148492 
525.000000 0.151705 
530.000000 0.154812 
535.000000 0.158324 
540.000000 0.162264 
545.000000 0.166533 
550.000000 0.171388 
555.000000 0.177199 
560.000000 0.184117 
565.000000 0.191702 
570.000000 0.199458 
575.000000 0.207210 
580.000000 0.215402 
585.000000 0.224714 
590.000000 0.235027 
595.000000 0.246043 
600.000000 0.257289 
605.000000 0.268700 
610.000000 0.280411 
615.000000 0.292299 
620.000000 0.304011 
625.000000 0.315301 
630.000000 0.327594 
635.000000 0.342519 
640.000000 0.360875 
645.000000 0.380748 
650.000000 0.399686 
655.000000 0.415358 
660.000000 0.426759 
665.000000 0.434069 
670.000000 0.437443 
675.000000 0.438241 
680.000000 0.438990 
685.000000 0.442853 
690.000000 0.450521 
695.000000 0.456483 
700.000000 0.456935 
705.000000 0.447054 
710.000000 0.428059 
715.000000 0.403856 
720.000000 0.381246 
725.000000 0.364516 
730.000000 0.355159 
735.000000 0.344173 
740.000000 0.330206 
745.000000 0.311257 
750.000000 0.291782 
755.000000 0.274059 
760.000000 0.258824 
765.000000 0.246132 
770.000000 0.235156 
775.000000 0.224279 
780.000000 0.212654 
785.000000 0.201454 
790.000000 0.192434 
795.000000 0.185758 
800.000000 0.179973 
805.000000 0.173480 
810.000000 0.166000 
815.000000 0.158607 
820.000000 0.152135 
825.000000 0.146251 
830.000000 0.140167 
835.000000 0.133579 
840.000000 0.127227 
845.000000 0.121784 
850.000000 0.117107 
855.000000 0.112861 
860.000000 0.108791 
865.000000 0.104498 
870.000000 0.099865 
875.000000 0.095113 
880.000000 0.090734 
885.000000 0.086965 
890.000000 0.083571 
895.000000 0.080155 
900.000000 0.076593 
