# Mixer complete? Yes
192	1.022	10.56	1.279	10.56	5.619	20.8	83.12
193	1.016	10.67	1.256	10.67	5.508	20.96	81.64
194	1.011	10.78	1.233	10.78	5.399	21.13	80.17
195	1.006	10.89	1.211	10.89	5.292	21.29	78.74
196	1.001	11.01	1.19	11.01	5.188	21.46	77.34
197	0.9957	11.12	1.169	11.12	5.085	21.63	75.96
198	0.9907	11.23	1.148	11.23	4.985	21.8	74.6
199	0.9857	11.35	1.127	11.35	4.886	21.97	73.27
200	0.9808	11.46	1.107	11.46	4.79	22.15	71.96
201	0.9759	11.58	1.087	11.58	4.695	22.33	70.67
202	0.9711	11.69	1.068	11.69	4.602	22.51	69.4
203	0.9663	11.81	1.048	11.81	4.51	22.7	68.14
204	0.9615	11.92	1.029	11.92	4.42	22.9	66.9
205	0.9568	12.04	1.01	12.04	4.33	23.1	65.68
206	0.9522	12.16	0.9917	12.16	4.242	23.3	64.46
207	0.9476	12.28	0.9733	12.28	4.155	23.52	63.26
208	0.943	12.4	0.9552	12.4	4.069	23.73	62.09
209	0.9385	12.52	0.9375	12.52	3.984	23.95	60.94
210	0.9341	12.64	0.9202	12.64	3.902	24.17	59.81
211	0.9296	12.76	0.9035	12.76	3.823	24.38	58.73
212	0.9253	12.88	0.8872	12.88	3.747	24.6	57.67
213	0.9209	13	0.8714	13	3.673	24.81	56.64
214	0.9166	13.12	0.8559	13.12	3.603	25.02	55.63
215	0.9123	13.24	0.8409	13.24	3.534	25.23	54.66
216	0.9081	13.37	0.826	13.37	3.467	25.45	53.69
217	0.9039	13.49	0.8115	13.49	3.402	25.66	52.75
218	0.8998	13.62	0.7973	13.62	3.339	25.88	51.82
219	0.8957	13.74	0.7832	13.74	3.277	26.11	50.91
220	0.8916	13.87	0.7695	13.87	3.215	26.33	50.02
221	0.8876	13.99	0.756	13.99	3.155	26.56	49.14
222	0.8836	14.12	0.7494	14	3.058	26.78	48.71
223	0.8796	14.25	0.745	14	3.002	26.94	48.42
224	0.8757	14.38	0.7425	14	2.96	27.03	48.26
225	0.8718	14.5	0.741	14	2.929	27.09	48.16
226	0.8679	14.63	0.7399	14	2.903	27.13	48.09
227	0.8641	14.76	0.7392	14	2.88	27.15	48.05
228	0.8603	14.89	0.7385	14	2.859	27.18	48
229	0.8566	15.02	0.738	14	2.839	27.2	47.97
230	0.8528	15.16	0.7375	14	2.819	27.22	47.93
231	0.8492	15.29	0.737	14	2.8	27.24	47.9
